dataset,model,model_config,model_name,fraction,unlabeled_ratio,run,epoch,loss,g_loss,d_loss,d_loss_sup,d_loss_unsup,c_loss,accuracy,macro_f1,val_loss,val_accuracy,val_macro_f1,test_loss,test_accuracy,test_macro_f1
mams,baseline,,baseline,0.05,,1,1.0,1.4048360586166382,,,,,,0.2933333218097687,0.2875708937644958,1.3912945985794067,0.1693750023841858,0.1344412267208099,1.3975409269332886,0.1634375005960464,0.1377856880426406
mams,baseline,,baseline,0.05,,1,2.0,1.3539190292358398,,,,,,0.3449999988079071,0.336817592382431,1.383983135223389,0.1599999964237213,0.1823276579380035,1.386137843132019,0.1606249958276748,0.1821637898683548
mams,baseline,,baseline,0.05,,1,3.0,1.2915396690368652,,,,,,0.398333340883255,0.3814582526683807,1.2916617393493652,0.2584375143051147,0.250658243894577,1.2912189960479736,0.25,0.247751384973526
mams,baseline,,baseline,0.05,,1,4.0,1.199127197265625,,,,,,0.4466666579246521,0.4290106892585754,1.2154662609100342,0.3196874856948852,0.2980969548225403,1.2156566381454468,0.3134374916553497,0.3021645545959472
mams,baseline,,baseline,0.05,,2,0.0,1.4284473657608032,,,,,,0.2911184132099151,0.2838451564311981,1.5060197114944458,0.09375,0.0735842809081077,1.5097349882125854,0.0946874991059303,0.0727160423994064
mams,baseline,,baseline,0.05,,2,1.0,1.336631417274475,,,,,,0.3322368562221527,0.32758229970932,1.3362302780151367,0.3062500059604645,0.267022967338562,1.3452067375183103,0.2787500023841858,0.2506124377250671
mams,baseline,,baseline,0.05,,2,2.0,1.1753759384155271,,,,,,0.4440789520740509,0.4313575029373169,1.2356430292129517,0.2643750011920929,0.2987859547138214,1.2421952486038208,0.2390625029802322,0.2713433802127838
mams,baseline,,baseline,0.05,,2,3.0,1.016046166419983,,,,,,0.5328947305679321,0.5320004224777222,1.151982665061951,0.5528125166893005,0.4592891931533813,1.173895001411438,0.5490624904632568,0.4385526180267334
mams,baseline,,baseline,0.05,,2,4.0,0.908674657344818,,,,,,0.6167762875556946,0.6140346527099609,1.0350865125656128,0.6625000238418579,0.5190451145172119,1.0602818727493286,0.6446874737739563,0.4873967170715332
mams,baseline,,baseline,0.05,,3,0.0,1.3659356832504272,,,,,,0.329341322183609,0.3285027742385864,1.2999932765960691,0.3915624916553497,0.3218816816806793,1.2950503826141355,0.4115625023841858,0.3410875797271728
mams,baseline,,baseline,0.05,,3,1.0,1.2581640481948853,,,,,,0.435628741979599,0.436369389295578,1.1858789920806885,0.5118749737739563,0.3555536270141601,1.1726200580596924,0.5262500047683716,0.3668466806411743
mams,baseline,,baseline,0.05,,3,2.0,1.1549417972564695,,,,,,0.507485032081604,0.5052796602249146,1.003528118133545,0.621874988079071,0.4352198839187622,0.998536229133606,0.6187499761581421,0.4425693452358246
mams,baseline,,baseline,0.05,,3,3.0,1.0549235343933103,,,,,,0.5329341292381287,0.5282514691352844,0.9818878173828124,0.6390625238418579,0.4678505659103393,0.963329553604126,0.6546875238418579,0.4842029213905334
mams,baseline,,baseline,0.05,,3,4.0,0.9236794710159302,,,,,,0.6167664527893066,0.6119652390480042,1.004206299781799,0.6337500214576721,0.4705329537391662,0.9807140231132508,0.6343749761581421,0.4746708273887634
